,2011,,,(GAL),(acre-ft),(MGD),(acre-ft),(MGD),(acre-ft),,acreft_gal
Month,Acre-feet,,Date,SJRA,SJRA pump,Industrial Usage,Industrial Usage,EWPP Usage,EWPP Usage,,325851
,,,12/17/11,"44,160,000",135.5220638,25.3,77.64,8.9,27.31,,
,,,12/18/11,"44,060,000",135.215175,25.8,79.18,8.4,25.78,,
,,,12/19/11,"44,330,000",136.0437746,26.1,80.1,8.1,24.86,,
,,,12/20/11,"44,120,000",135.3993083,25.4,77.95,9.8,30.08,,
,,,12/21/11,"44,630,000",136.9644408,24.3,74.57,8.1,24.86,,
,,,12/22/11,"33,750,000",103.5749468,22.7,69.66,10.9,33.45,,
,,,12/23/11,"31,000,000",95.13550672,23.5,72.12,16.8,51.56,,
,,,12/24/11,"31,510,000",96.70063925,22.9,70.28,17.3,53.09,,
,,,12/25/11,"30,930,000",94.92068461,22.9,70.28,17.3,53.09,,
,,,12/26/11,"30,900,000",94.82861799,23.9,73.35,16.1,49.41,,
,,,12/27/11,"31,160,000",95.62652869,25.2,77.34,15.1,46.34,,
,,,12/28/11,"31,060,000",95.31963996,26.6,81.63,11.6,35.6,,
,,,12/29/11,"44,040,000",135.1537973,24.1,73.96,16.1,49.41,,
,,,12/30/11,"45,310,000",139.0512842,25.1,77.03,13.1,40.2,,
,,,12/31/11,"45,150,000",138.5602622,25.5,78.26,14.7,45.11,,
