Lake,,,,Rating
,,,,Lake
Elevation,Area,Volume,,Houston
(feet,(acres),(acre-feet),,Source
17.09,554.32,2505.32,,
17.1,555.23,2510.87,,
17.11,556.12,2516.42,,
17.12,557,2521.99,,
17.13,557.89,2527.56,,
17.14,558.78,2533.15,,
17.15,559.67,2538.74,,
17.16,560.56,2544.34,,
17.17,561.45,2549.95,,
17.18,562.33,2555.57,,
17.19,563.21,2561.2,,
17.2,564.09,2566.83,,
17.21,564.98,2572.48,,
17.22,565.87,2578.13,,
17.23,566.77,2583.8,,
17.24,567.66,2589.47,,
17.25,568.56,2595.15,,
17.26,569.48,2600.84,,
17.27,570.39,2606.54,,
17.28,571.31,2612.25,,
17.29,572.22,2617.97,,
17.3,573.13,2623.69,,
17.31,574.05,2629.43,,
17.32,574.98,2635.17,,
17.33,575.9,2640.93,,
17.34,576.82,2646.69,,
17.35,577.77,2652.46,,
17.36,578.75,2658.25,,
17.37,579.75,2664.04,,
17.38,580.78,2669.84,,
17.39,581.84,2675.65,,
17.4,582.91,2681.48,,
17.41,583.98,2687.31,,
17.42,585.08,2693.16,,
17.43,586.19,2699.01,,
17.44,587.31,2704.88,,
17.45,588.41,2710.76,,
17.46,589.51,2716.65,,
17.47,590.6,2722.55,,
17.48,591.69,2728.46,,
17.49,592.77,2734.38,,
17.5,593.86,2740.32,,
17.51,594.95,2746.26,,
17.52,596.03,2752.22,,
17.53,597.13,2758.18,,
17.54,598.24,2764.16,,
17.55,599.35,2770.15,,
17.56,600.47,2776.15,,
17.57,601.58,2782.16,,
17.58,602.7,2788.18,,
17.59,603.8,2794.21,,
17.6,604.9,2800.25,,
17.61,605.99,2806.31,,
17.62,607.09,2812.37,,
17.63,608.19,2818.45,,
17.64,609.28,2824.54,,
17.65,610.38,2830.64,,
17.66,611.49,2836.75,,
17.67,612.6,2842.87,,
17.68,613.7,2849,,
17.69,614.78,2855.14,,
17.7,615.87,2861.29,,
17.71,616.95,2867.46,,
17.72,618.05,2873.63,,
17.73,619.19,2879.82,,
17.74,620.37,2886.02,,
17.75,621.56,2892.23,,
17.76,622.74,2898.45,,
17.77,623.9,2904.68,,
17.78,625.07,2910.93,,
17.79,626.23,2917.18,,
17.8,627.4,2923.45,,
17.81,628.6,2929.73,,
17.82,629.8,2936.02,,
17.83,631.02,2942.33,,
17.84,632.24,2948.64,,
17.85,633.48,2954.97,,
17.86,635,2961.31,,
17.87,636.34,2967.67,,
17.88,637.62,2974.04,,
17.89,638.89,2980.42,,
17.9,640.19,2986.82,,
17.91,641.51,2993.23,,
17.92,642.84,2999.65,,
17.93,644.16,3006.08,,
17.94,645.5,3012.53,,
17.95,646.85,3018.99,,
17.96,648.2,3025.47,,
17.97,649.54,3031.96,,
17.98,650.89,3038.46,,
17.99,652.2,3044.97,,
18,653.49,3051.5,,
18.01,654.76,3058.04,,
18.02,656.03,3064.6,,
18.03,657.32,3071.17,,
18.04,658.61,3077.75,,
18.05,659.95,3084.34,,
18.06,661.32,3090.94,,
18.07,662.72,3097.56,,
18.08,664.14,3104.2,,
18.09,665.55,3110.85,,
18.1,666.92,3117.51,,
18.11,668.28,3124.19,,
18.12,669.64,3130.88,,
18.13,671,3137.58,,
18.14,672.38,3144.29,,
18.15,673.77,3151.03,,
18.16,675.18,3157.77,,
18.17,676.64,3164.53,,
18.18,678.12,3171.3,,
18.19,679.54,3178.09,,
18.2,680.94,3184.89,,
18.21,682.31,3191.71,,
18.22,683.69,3198.54,,
18.23,685.1,3205.38,,
18.24,686.53,3212.24,,
18.25,687.98,3219.12,,
18.26,689.45,3226,,
18.27,690.95,3232.9,,
18.28,692.5,3239.82,,
18.29,694.07,3246.76,,
18.3,695.71,3253.7,,
18.31,697.37,3260.67,,
18.32,699,3267.65,,
18.33,700.64,3274.65,,
18.34,702.46,3281.66,,
18.35,704.31,3288.7,,
18.36,706.24,3295.75,,
18.37,708.09,3302.82,,
18.38,709.82,3309.91,,
18.39,711.46,3317.02,,
18.4,713.07,3324.14,,
18.41,714.67,3331.28,,
18.42,716.26,3338.43,,
18.43,717.91,3345.61,,
18.44,719.57,3352.79,,
18.45,721.25,3360,,
18.46,722.97,3367.22,,
18.47,724.66,3374.46,,
18.48,726.32,3381.71,,
18.49,728.1,3388.98,,
18.5,729.83,3396.27,,
18.51,731.5,3403.58,,
18.52,733.12,3410.9,,
18.53,734.74,3418.24,,
18.54,736.36,3425.6,,
18.55,738.01,3432.97,,
18.56,739.66,3440.36,,
18.57,741.32,3447.76,,
18.58,742.97,3455.18,,
18.59,744.63,3462.62,,
18.6,746.29,3470.08,,
18.61,747.96,3477.55,,
18.62,749.64,3485.04,,
18.63,751.35,3492.54,,
18.64,753.07,3500.06,,
18.65,754.82,3507.6,,
18.66,756.59,3515.16,,
18.67,758.42,3522.73,,
18.68,760.28,3530.33,,
18.69,762.19,3537.94,,
18.7,764.15,3545.57,,
18.71,766.08,3553.22,,
18.72,767.88,3560.89,,
18.73,769.68,3568.58,,
18.74,771.47,3576.29,,
18.75,773.27,3584.01,,
18.76,775.1,3591.75,,
18.77,776.92,3599.51,,
18.78,778.75,3607.29,,
18.79,780.56,3615.09,,
18.8,782.31,3622.9,,
18.81,784.04,3630.73,,
18.82,785.72,3638.58,,
18.83,787.39,3646.45,,
18.84,789.07,3654.33,,
18.85,790.76,3662.23,,
18.86,792.49,3670.15,,
18.87,794.23,3678.08,,
18.88,795.98,3686.03,,
18.89,797.75,3694,,
18.9,799.54,3701.98,,
18.91,801.33,3709.99,,
18.92,803.09,3718.01,,
18.93,804.83,3726.05,,
18.94,806.57,3734.11,,
18.95,808.3,3742.18,,
18.96,810.01,3750.27,,
18.97,811.7,3758.38,,
18.98,813.4,3766.51,,
18.99,815.12,3774.65,,
19,816.85,3782.81,,
19.01,818.59,3790.99,,
19.02,820.35,3799.18,,
19.03,822.12,3807.39,,
19.04,823.9,3815.62,,
19.05,825.67,3823.87,,
19.06,827.4,3832.14,,
19.07,829.11,3840.42,,
19.08,830.82,3848.72,,
19.09,832.54,3857.04,,
19.1,834.31,3865.37,,
19.11,836.07,3873.72,,
19.12,837.85,3882.09,,
19.13,839.65,3890.48,,
19.14,841.45,3898.88,,
19.15,843.26,3907.31,,
19.16,845.09,3915.75,,
19.17,846.92,3924.21,,
19.18,848.75,3932.69,,
19.19,850.56,3941.19,,
19.2,852.39,3949.7,,
19.21,854.21,3958.23,,
19.22,856.04,3966.78,,
19.23,857.86,3975.35,,
19.24,859.7,3983.94,,
19.25,861.56,3992.55,,
19.26,863.43,4001.17,,
19.27,865.32,4009.82,,
19.28,867.2,4018.48,,
19.29,869.12,4027.16,,
19.3,871.13,4035.86,,
19.31,873.19,4044.58,,
19.32,875.36,4053.33,,
19.33,877.59,4062.09,,
19.34,879.87,4070.88,,
19.35,882.2,4079.69,,
19.36,884.58,4088.52,,
19.37,887.02,4097.38,,
19.38,889.58,4106.26,,
19.39,892.22,4115.17,,
19.4,894.91,4124.11,,
19.41,897.71,4133.07,,
