Lake,,,,Rating
,,,,Lake
Elevation,Area,Volume,,Houston
(feet,(acres),(acre-feet),,Source
23.9,2186.27,10684.17,,
23.91,2190.61,10706.06,,
23.92,2194.94,10727.98,,
23.93,2199.21,10749.95,,
23.94,2203.44,10771.97,,
23.95,2207.77,10794.03,,
23.96,2212.23,10816.12,,
23.97,2216.68,10838.27,,
23.98,2221.04,10860.46,,
23.99,2225.27,10882.69,,
24,2229.44,10904.96,,
24.01,2233.59,10927.28,,
24.02,2237.77,10949.64,,
24.03,2242.07,10972.03,,
24.04,2246.52,10994.48,,
24.05,2251.08,11016.96,,
24.06,2255.49,11039.5,,
24.07,2259.85,11062.07,,
24.08,2264.21,11084.69,,
24.09,2268.5,11107.36,,
24.1,2272.76,11130.07,,
24.11,2277.07,11152.81,,
24.12,2281.41,11175.61,,
24.13,2285.6,11198.44,,
24.14,2289.77,11221.32,,
24.15,2293.88,11244.24,,
24.16,2297.96,11267.19,,
24.17,2302,11290.2,,
24.18,2306.09,11313.24,,
24.19,2310.18,11336.32,,
24.2,2314.25,11359.44,,
24.21,2318.34,11382.6,,
24.22,2322.47,11405.8,,
24.23,2326.64,11429.05,,
24.24,2330.86,11452.34,,
24.25,2335.27,11475.67,,
24.26,2339.5,11499.04,,
24.27,2343.69,11522.46,,
24.28,2347.94,11545.92,,
24.29,2352.17,11569.42,,
24.3,2356.35,11592.96,,
24.31,2360.55,11616.54,,
24.32,2364.8,11640.17,,
24.33,2369.04,11663.84,,
24.34,2373.34,11687.55,,
24.35,2377.75,11711.31,,
24.36,2382.12,11735.11,,
24.37,2386.41,11758.95,,
24.38,2390.71,11782.83,,
24.39,2395.02,11806.76,,
24.4,2399.31,11830.73,,
24.41,2403.59,11854.75,,
24.42,2407.86,11878.81,,
24.43,2412.15,11902.91,,
24.44,2416.46,11927.05,,
24.45,2420.78,11951.24,,
24.46,2425.09,11975.46,,
24.47,2429.38,11999.74,,
24.48,2433.72,12024.05,,
24.49,2438.1,12048.41,,
24.5,2442.46,12072.82,,
24.51,2446.86,12097.26,,
24.52,2451.3,12121.75,,
24.53,2455.74,12146.29,,
24.54,2460.22,12170.87,,
24.55,2464.76,12195.49,,
24.56,2469.32,12220.16,,
24.57,2474,12244.88,,
24.58,2478.58,12269.64,,
24.59,2483.19,12294.45,,
24.6,2487.81,12319.31,,
24.61,2492.47,12344.21,,
24.62,2497.11,12369.16,,
24.63,2501.8,12394.15,,
24.64,2506.55,12419.19,,
24.65,2511.37,12444.28,,
24.66,2516.27,12469.42,,
24.67,2521.28,12494.61,,
24.68,2526.28,12519.85,,
24.69,2531.29,12545.13,,
24.7,2536.46,12570.47,,
24.71,2541.91,12595.86,,
24.72,2547.36,12621.31,,
24.73,2552.79,12646.81,,
24.74,2558.27,12672.37,,
24.75,2563.71,12697.98,,
24.76,2569.19,12723.64,,
24.77,2574.63,12749.36,,
24.78,2580.24,12775.14,,
24.79,2585.86,12800.97,,
24.8,2591.44,12826.85,,
24.81,2597.05,12852.79,,
24.82,2602.69,12878.79,,
24.83,2608.32,12904.85,,
24.84,2613.99,12930.96,,
24.85,2619.73,12957.13,,
24.86,2625.5,12983.36,,
24.87,2631.28,13009.64,,
24.88,2637.14,13035.98,,
24.89,2643.01,13062.38,,
24.9,2648.81,13088.84,,
24.91,2654.54,13115.36,,
24.92,2660.28,13141.93,,
24.93,2665.96,13168.56,,
24.94,2671.75,13195.25,,
24.95,2677.72,13222,,
24.96,2683.67,13248.8,,
24.97,2689.56,13275.67,,
24.98,2695.4,13302.59,,
24.99,2701.08,13329.58,,
25,2706.72,13356.62,,
25.01,2712.23,13383.71,,
25.02,2717.71,13410.86,,
25.03,2723.2,13438.07,,
25.04,2728.61,13465.33,,
25.05,2734,13492.64,,
25.06,2739.33,13520,,
25.07,2744.61,13547.42,,
25.08,2749.92,13574.9,,
25.09,2755.27,13602.42,,
25.1,2760.68,13630,,
25.11,2766.16,13657.64,,
25.12,2771.7,13685.33,,
25.13,2777.3,13713.07,,
25.14,2782.99,13740.87,,
25.15,2788.61,13768.73,,
25.16,2794.07,13796.64,,
25.17,2799.51,13824.61,,
25.18,2804.96,13852.63,,
25.19,2810.58,13880.71,,
25.2,2816.24,13908.85,,
25.21,2821.82,13937.03,,
25.22,2827.42,13965.28,,
25.23,2833.06,13993.58,,
25.24,2838.73,14021.94,,
25.25,2844.25,14050.36,,
25.26,2849.8,14078.83,,
25.27,2855.39,14107.36,,
25.28,2861,14135.94,,
25.29,2866.54,14164.58,,
25.3,2871.99,14193.27,,
25.31,2877.45,14222.01,,
25.32,2882.82,14250.82,,
25.33,2888.13,14279.67,,
25.34,2893.34,14308.58,,
25.35,2898.54,14337.54,,
25.36,2903.72,14366.55,,
25.37,2908.92,14395.61,,
25.38,2914.17,14424.72,,
25.39,2919.43,14453.89,,
25.4,2924.78,14483.11,,
25.41,2930.07,14512.39,,
25.42,2935.27,14541.72,,
25.43,2940.55,14571.1,,
25.44,2945.92,14600.53,,
25.45,2951.33,14630.02,,
25.46,2956.6,14659.55,,
25.47,2961.86,14689.14,,
25.48,2967.17,14718.79,,
25.49,2972.53,14748.49,,
25.5,2977.87,14778.24,,
25.51,2983.25,14808.05,,
25.52,2988.59,14837.91,,
25.53,2993.91,14867.82,,
25.54,2999.19,14897.79,,
25.55,3004.37,14927.8,,
25.56,3009.53,14957.87,,
25.57,3014.7,14987.99,,
25.58,3019.87,15018.17,,
25.59,3025,15048.39,,
25.6,3030.14,15078.67,,
25.61,3035.24,15109,,
25.62,3040.38,15139.37,,
25.63,3045.58,15169.8,,
25.64,3050.9,15200.28,,
25.65,3056.34,15230.82,,
25.66,3061.78,15261.41,,
25.67,3067.28,15292.06,,
25.68,3072.71,15322.76,,
25.69,3078.13,15353.51,,
25.7,3083.55,15384.32,,
25.71,3088.98,15415.18,,
25.72,3094.36,15446.1,,
25.73,3099.56,15477.07,,
25.74,3104.65,15508.09,,
25.75,3109.81,15539.16,,
25.76,3114.87,15570.28,,
25.77,3119.92,15601.46,,
25.78,3125,15632.68,,
25.79,3130.21,15663.96,,
25.8,3135.39,15695.28,,
25.81,3140.49,15726.66,,
25.82,3145.61,15758.1,,
25.83,3150.7,15789.58,,
25.84,3155.72,15821.11,,
25.85,3160.71,15852.69,,
25.86,3165.78,15884.33,,
25.87,3170.99,15916.01,,
25.88,3176.24,15947.74,,
25.89,3181.6,15979.53,,
25.9,3187.22,16011.38,,
25.91,3192.72,16043.28,,
25.92,3198.08,16075.23,,
25.93,3203.42,16107.24,,
25.94,3208.95,16139.3,,
25.95,3214.22,16171.42,,
25.96,3219.47,16203.58,,
25.97,3224.88,16235.8,,
25.98,3230.33,16268.08,,
25.99,3235.73,16300.41,,
26,3241.14,16332.8,,
26.01,3246.62,16365.24,,
26.02,3252.18,16397.73,,
26.03,3257.75,16430.28,,
26.04,3263.77,16462.89,,
26.05,3269.34,16495.55,,
26.06,3274.82,16528.27,,
26.07,3280.27,16561.05,,
26.08,3285.77,16593.88,,
26.09,3291.21,16626.76,,
26.1,3296.65,16659.7,,
26.11,3302.11,16692.7,,
26.12,3307.67,16725.75,,
26.13,3313.23,16758.85,,
26.14,3318.85,16792.01,,
26.15,3324.48,16825.23,,
26.16,3330.1,16858.5,,
26.17,3335.76,16891.83,,
26.18,3341.45,16925.22,,
26.19,3347.13,16958.66,,
26.2,3352.82,16992.16,,
26.21,3358.5,17025.71,,
26.22,3364.24,17059.33,,
26.23,3370.01,17093,,
26.24,3375.65,17126.73,,
26.25,3381.28,17160.51,,
26.26,3386.92,17194.35,,
26.27,3392.53,17228.25,,
26.28,3398.06,17262.21,,
26.29,3403.54,17296.21,,
26.3,3408.97,17330.27,,
26.31,3414.46,17364.39,,
26.32,3420.09,17398.56,,
26.33,3425.67,17432.79,,
26.34,3431.24,17467.08,,
26.35,3436.74,17501.42,,
26.36,3442.26,17535.81,,
26.37,3447.78,17570.27,,
26.38,3453.24,17604.76,,
26.39,3458.66,17639.33,,
26.4,3464.07,17673.94,,
26.41,3469.48,17708.61,,
26.42,3475.04,17743.33,,
26.43,3480.83,17778.11,,
26.44,3486.58,17812.95,,
26.45,3492.44,17847.84,,
26.46,3498.21,17882.79,,
26.47,3503.8,17917.8,,
26.48,3509.28,17952.87,,
26.49,3514.75,17987.99,,
26.5,3520.38,18023.17,,
26.51,3525.99,18058.4,,
26.52,3531.61,18093.69,,
26.53,3537.11,18129.03,,
26.54,3542.75,18164.43,,
26.55,3548.21,18199.88,,
26.56,3553.54,18235.39,,
26.57,3558.88,18270.96,,
26.58,3564.47,18306.57,,
26.59,3570.12,18342.25,,
26.6,3575.74,18377.98,,
26.61,3581.24,18413.76,,
26.62,3586.64,18449.6,,
26.63,3591.94,18485.49,,
26.64,3597.16,18521.44,,
26.65,3602.5,18557.43,,
26.66,3607.87,18593.49,,
26.67,3613.14,18629.59,,
26.68,3618.41,18665.75,,
26.69,3623.61,18701.96,,
26.7,3628.77,18738.23,,
26.71,3633.86,18774.53,,
26.72,3639.04,18810.9,,
26.73,3644.19,18847.32,,
26.74,3649.29,18883.78,,
26.75,3654.45,18920.3,,
26.76,3659.65,18956.87,,
26.77,3664.81,18993.5,,
26.78,3670.04,19030.17,,
26.79,3675.38,19066.9,,
26.8,3680.66,19103.67,,
26.81,3685.98,19140.51,,
26.82,3691.17,19177.39,,
26.83,3696.33,19214.33,,
26.84,3701.46,19251.32,,
26.85,3706.61,19288.36,,
26.86,3711.71,19325.46,,
26.87,3716.78,19362.6,,
26.88,3721.81,19399.79,,
26.89,3726.79,19437.03,,
26.9,3731.68,19474.32,,
26.91,3736.49,19511.67,,
26.92,3741.29,19549.06,,
26.93,3746.11,19586.49,,
26.94,3750.9,19623.98,,
26.95,3755.67,19661.51,,
26.96,3760.7,19699.09,,
26.97,3765.7,19736.72,,
26.98,3770.5,19774.4,,
26.99,3775.18,19812.13,,
27,3779.86,19849.91,,
27.01,3784.47,19887.73,,
27.02,3789.09,19925.6,,
27.03,3793.66,19963.51,,
27.04,3798.24,20001.48,,
27.05,3802.82,20039.47,,
27.06,3807.39,20077.53,,
27.07,3811.95,20115.62,,
27.08,3816.51,20153.77,,
27.09,3821.21,20191.96,,
27.1,3825.94,20230.19,,
27.11,3830.66,20268.48,,
27.12,3835.33,20306.81,,
27.13,3839.98,20345.18,,
27.14,3844.66,20383.6,,
27.15,3849.37,20422.07,,
27.16,3853.99,20460.59,,
27.17,3858.49,20499.15,,
27.18,3862.92,20537.76,,
27.19,3867.32,20576.41,,
27.2,3871.69,20615.11,,
27.21,3876.06,20653.84,,
27.22,3880.41,20692.63,,
27.23,3884.68,20731.45,,
27.24,3888.94,20770.32,,
27.25,3893.21,20809.23,,
27.26,3897.51,20848.19,,
27.27,3901.81,20887.18,,
27.28,3906.14,20926.23,,
27.29,3910.5,20965.31,,
27.3,3914.84,21004.43,,
27.31,3919.09,21043.6,,
27.32,3923.32,21082.81,,
27.33,3927.57,21122.07,,
27.34,3931.8,21161.36,,
27.35,3936.07,21200.71,,
27.36,3940.36,21240.09,,
27.37,3944.64,21279.52,,
27.38,3949.06,21318.98,,
27.39,3953.66,21358.49,,
27.4,3958.3,21398.05,,
27.41,3962.89,21437.66,,
27.42,3967.2,21477.31,,
27.43,3971.65,21517,,
27.44,3976.03,21556.74,,
27.45,3980.32,21596.53,,
27.46,3984.6,21636.34,,
27.47,3988.86,21676.21,,
27.48,3993.25,21716.12,,
27.49,3997.65,21756.08,,
27.5,4001.99,21796.08,,
27.51,4006.28,21836.12,,
27.52,4010.57,21876.21,,
27.53,4014.81,21916.33,,
27.54,4018.9,21956.5,,
27.55,4022.95,21996.71,,
27.56,4026.98,22036.96,,
27.57,4030.99,22077.25,,
27.58,4035,22117.58,,
27.59,4039.04,22157.95,,
27.6,4043.1,22198.36,,
27.61,4047.17,22238.81,,
27.62,4051.26,22279.31,,
27.63,4055.39,22319.83,,
27.64,4059.53,22360.41,,
27.65,4063.66,22401.03,,
27.66,4067.76,22441.68,,
27.67,4071.83,22482.38,,
27.68,4075.92,22523.12,,
27.69,4079.98,22563.9,,
27.7,4084.01,22604.72,,
27.71,4088.04,22645.58,,
27.72,4092.09,22686.48,,
27.73,4096.2,22727.42,,
27.74,4100.37,22768.4,,
27.75,4104.51,22809.43,,
27.76,4108.65,22850.5,,
27.77,4112.82,22891.61,,
27.78,4117.01,22932.75,,
27.79,4121.19,22973.95,,
27.8,4125.43,23015.17,,
27.81,4129.68,23056.45,,
27.82,4133.92,23097.77,,
27.83,4138.15,23139.13,,
27.84,4142.39,23180.53,,
27.85,4146.7,23221.98,,
27.86,4151.12,23263.47,,
27.87,4155.63,23305,,
27.88,4160.07,23346.58,,
27.89,4164.44,23388.2,,
27.9,4168.78,23429.87,,
27.91,4173.09,23471.58,,
27.92,4177.38,23513.33,,
27.93,4181.71,23555.13,,
27.94,4186.1,23596.97,,
27.95,4190.54,23638.85,,
27.96,4195.05,23680.77,,
27.97,4199.52,23722.75,,
27.98,4203.94,23764.76,,
27.99,4208.37,23806.83,,
28,4212.73,23848.93,,
28.01,4217.06,23891.08,,
28.02,4221.39,23933.28,,
28.03,4225.75,23975.51,,
28.04,4230.1,24017.79,,
28.05,4234.48,24060.11,,
28.06,4238.8,24102.48,,
28.07,4243.1,24144.89,,
28.08,4247.37,24187.34,,
28.09,4251.64,24229.84,,
28.1,4255.91,24272.37,,
28.11,4260.24,24314.96,,
28.12,4264.63,24357.58,,
28.13,4269.06,24400.24,,
28.14,4273.45,24442.96,,
28.15,4277.91,24485.71,,
28.16,4282.53,24528.52,,
28.17,4287.24,24571.37,,
28.18,4291.89,24614.26,,
28.19,4296.59,24657.21,,
28.2,4301.29,24700.2,,
28.21,4305.96,24743.23,,
28.22,4310.53,24786.31,,
28.23,4314.99,24829.44,,
28.24,4319.47,24872.61,,
28.25,4323.93,24915.83,,
28.26,4328.37,24959.09,,
28.27,4332.77,25002.4,,
28.28,4337.18,25045.75,,
28.29,4341.66,25089.14,,
28.3,4346.24,25132.58,,
28.31,4350.93,25176.06,,
28.32,4355.52,25219.6,,
28.33,4360.04,25263.17,,
28.34,4364.55,25306.8,,
28.35,4369.09,25350.47,,
28.36,4373.64,25394.18,,
28.37,4378.23,25437.94,,
28.38,4382.87,25481.74,,
28.39,4387.48,25525.59,,
28.4,4392.01,25569.49,,
28.41,4396.49,25613.44,,
28.42,4400.85,25657.42,,
28.43,4405.18,25701.46,,
28.44,4409.48,25745.53,,
28.45,4413.8,25789.65,,
28.46,4418.12,25833.8,,
28.47,4422.41,25878,,
28.48,4426.68,25922.25,,
28.49,4430.95,25966.54,,
28.5,4435.22,26010.87,,
28.51,4439.46,26055.25,,
28.52,4443.73,26099.66,,
28.53,4448.03,26144.12,,
28.54,4452.39,26188.62,,
28.55,4456.79,26233.16,,
28.56,4461.18,26277.75,,
28.57,4465.62,26322.39,,
28.58,4470.07,26367.07,,
28.59,4474.43,26411.79,,
28.6,4478.71,26456.56,,
28.61,4482.99,26501.37,,
28.62,4487.26,26546.22,,
28.63,4491.49,26591.11,,
28.64,4495.76,26636.04,,
28.65,4500.07,26681.02,,
28.66,4504.43,26726.05,,
28.67,4508.82,26771.11,,
28.68,4513.13,26816.23,,
28.69,4517.34,26861.38,,
28.7,4521.53,26906.58,,
28.71,4525.78,26951.8,,
28.72,4530.01,26997.08,,
28.73,4534.21,27042.41,,
28.74,4538.5,27087.77,,
28.75,4542.73,27133.18,,
28.76,4546.9,27178.63,,
28.77,4551.03,27224.12,,
28.78,4555.17,27269.65,,
28.79,4559.36,27315.22,,
28.8,4563.69,27360.83,,
28.81,4568.09,27406.49,,
28.82,4572.51,27452.19,,
28.83,4576.86,27497.94,,
28.84,4581.09,27543.73,,
28.85,4585.32,27589.57,,
28.86,4589.57,27635.44,,
28.87,4593.84,27681.36,,
28.88,4598.05,27727.31,,
28.89,4602.28,27773.31,,
28.9,4606.56,27819.36,,
28.91,4610.89,27865.45,,
28.92,4615.29,27911.58,,
28.93,4619.73,27957.76,,
28.94,4624.13,28003.98,,
28.95,4628.62,28050.24,,
28.96,4633.05,28096.54,,
28.97,4637.45,28142.9,,
28.98,4641.93,28189.29,,
28.99,4646.35,28235.74,,
29,4650.75,28282.22,,
29.01,4655.22,28328.75,,
29.02,4659.67,28375.33,,
29.03,4664.09,28421.95,,
29.04,4668.49,28468.61,,
29.05,4672.88,28515.31,,
29.06,4677.32,28562.07,,
29.07,4681.78,28608.86,,
29.08,4686.21,28655.7,,
29.09,4690.64,28702.59,,
29.1,4695,28749.52,,
29.11,4699.28,28796.49,,
29.12,4703.57,28843.5,,
29.13,4707.86,28890.56,,
29.14,4712.19,28937.66,,
29.15,4716.72,28984.8,,
29.16,4721.21,29031.99,,
29.17,4725.75,29079.23,,
29.18,4730.34,29126.51,,
29.19,4734.81,29173.84,,
29.2,4739.32,29221.21,,
29.21,4743.87,29268.62,,
29.22,4748.51,29316.08,,
29.23,4753.2,29363.59,,
29.24,4757.84,29411.14,,
29.25,4762.64,29458.75,,
29.26,4767.54,29506.4,,
29.27,4772.44,29554.1,,
29.28,4777.22,29601.85,,
29.29,4781.88,29649.65,,
29.3,4786.53,29697.48,,
29.31,4791.16,29745.37,,
29.32,4795.7,29793.3,,
29.33,4800.19,29841.29,,
29.34,4804.64,29889.31,,
29.35,4809.09,29937.38,,
29.36,4813.52,29985.5,,
29.37,4817.92,30033.65,,
29.38,4822.32,30081.85,,
29.39,4826.72,30130.09,,
29.4,4831.1,30178.38,,
29.41,4835.49,30226.72,,
29.42,4839.9,30275.09,,
29.43,4844.31,30323.52,,
29.44,4848.67,30371.98,,
29.45,4853.03,30420.49,,
29.46,4857.37,30469.04,,
29.47,4861.69,30517.63,,
29.48,4866,30566.27,,
29.49,4870.27,30614.96,,
29.5,4874.53,30663.68,,
29.51,4878.8,30712.45,,
29.52,4883.06,30761.26,,
29.53,4887.28,30810.11,,
29.54,4891.51,30859.01,,
29.55,4895.8,30907.94,,
29.56,4900.09,30956.91,,
29.57,4904.42,31005.94,,
29.58,4908.78,31055.01,,
29.59,4913.17,31104.12,,
29.6,4917.65,31153.27,,
29.61,4922.17,31202.47,,
29.62,4926.65,31251.72,,
29.63,4931.07,31301,,
29.64,4935.59,31350.33,,
29.65,4940.14,31399.71,,
29.66,4944.69,31449.14,,
29.67,4949.31,31498.61,,
29.68,4953.86,31548.13,,
29.69,4958.47,31597.69,,
29.7,4963.03,31647.3,,
29.71,4967.7,31696.94,,
29.72,4972.33,31746.64,,
29.73,4976.94,31796.39,,
29.74,4981.53,31846.19,,
29.75,4986.14,31896.02,,
29.76,4990.72,31945.91,,
29.77,4995.26,31995.84,,
29.78,4999.77,32045.82,,
29.79,5004.29,32095.84,,
29.8,5008.81,32145.9,,
29.81,5013.43,32196.01,,
29.82,5018.07,32246.17,,
29.83,5022.65,32296.37,,
29.84,5027.12,32346.62,,
29.85,5031.58,32396.91,,
29.86,5036.03,32447.26,,
29.87,5040.4,32497.64,,
29.88,5044.74,32548.06,,
29.89,5049.07,32598.53,,
29.9,5053.42,32649.04,,
29.91,5057.85,32699.6,,
29.92,5062.34,32750.2,,
29.93,5066.79,32800.85,,
29.94,5071.36,32851.54,,
29.95,5075.89,32902.28,,
29.96,5080.42,32953.05,,
29.97,5085.06,33003.88,,
29.98,5089.68,33054.75,,
29.99,5094.31,33105.67,,
30,5099.03,33156.64,,
30.01,5103.75,33207.65,,
30.02,5108.41,33258.72,,
30.03,5113.04,33309.83,,
30.04,5117.7,33360.98,,
30.05,5122.32,33412.17,,
30.06,5126.93,33463.42,,
30.07,5131.51,33514.71,,
30.08,5136.14,33566.05,,
30.09,5140.72,33617.44,,
30.1,5145.38,33668.87,,
30.11,5150.14,33720.35,,
30.12,5154.9,33771.87,,
30.13,5159.68,33823.44,,
30.14,5164.45,33875.06,,
30.15,5169.12,33926.73,,
30.16,5173.76,33978.45,,
30.17,5178.42,34030.21,,
30.18,5183.05,34082.02,,
30.19,5187.67,34133.87,,
30.2,5192.3,34185.77,,
30.21,5197,34237.71,,
30.22,5201.73,34289.7,,
30.23,5206.51,34341.75,,
30.24,5211.38,34393.84,,
30.25,5216.37,34445.98,,
30.26,5221.46,34498.17,,
30.27,5226.44,34550.41,,
30.28,5231.39,34602.7,,
30.29,5236.39,34655.04,,
30.3,5241.41,34707.42,,
30.31,5246.31,34759.86,,
30.32,5251.21,34812.35,,
30.33,5256.06,34864.88,,
30.34,5260.94,34917.47,,
30.35,5265.92,34970.11,,
30.36,5270.92,35022.79,,
30.37,5275.96,35075.53,,
30.38,5281.06,35128.3,,
30.39,5286,35181.14,,
30.4,5290.99,35234.03,,
30.41,5296.11,35286.96,,
30.42,5301.21,35339.95,,
30.43,5306.25,35392.99,,
30.44,5311.38,35446.08,,
30.45,5316.45,35499.22,,
30.46,5321.48,35552.4,,
30.47,5326.56,35605.64,,
30.48,5331.71,35658.93,,
30.49,5336.87,35712.28,,
30.5,5341.86,35765.67,,
30.51,5346.81,35819.12,,
30.52,5351.65,35872.61,,
30.53,5356.5,35926.15,,
30.54,5361.36,35979.75,,
30.55,5366.28,36033.37,,
30.56,5371.21,36087.06,,
30.57,5376.16,36140.8,,
30.58,5381.11,36194.59,,
30.59,5386.11,36248.42,,
30.6,5391.22,36302.31,,
30.61,5396.56,36356.25,,
30.62,5401.9,36410.25,,
30.63,5407.06,36464.28,,
30.64,5412.26,36518.38,,
30.65,5417.43,36572.53,,
30.66,5422.6,36626.73,,
30.67,5427.83,36680.99,,
30.68,5433.06,36735.29,,
30.69,5438.28,36789.65,,
30.7,5443.52,36844.06,,
30.71,5448.78,36898.51,,
30.72,5454.03,36953.03,,
30.73,5459.25,37007.59,,
30.74,5464.39,37062.21,,
30.75,5469.57,37116.89,,
30.76,5474.6,37171.61,,
30.77,5479.56,37226.38,,
30.78,5484.49,37281.2,,
30.79,5489.29,37336.07,,
30.8,5494.03,37390.98,,
30.81,5498.79,37445.94,,
30.82,5503.63,37500.96,,
30.83,5508.45,37556.02,,
30.84,5513.35,37611.13,,
30.85,5518.34,37666.29,,
30.86,5523.43,37721.5,,
30.87,5528.53,37776.76,,
30.88,5533.59,37832.06,,
30.89,5538.7,37887.42,,
30.9,5543.85,37942.84,,
30.91,5548.95,37998.3,,
30.92,5554.02,38053.82,,
30.93,5559,38109.38,,
30.94,5563.98,38165,,
30.95,5568.91,38220.67,,
30.96,5573.88,38276.37,,
30.97,5578.94,38332.14,,
30.98,5584.1,38387.95,,
30.99,5589.28,38443.82,,
31,5594.48,38499.74,,
31.01,5599.71,38555.7,,
31.02,5605.01,38611.74,,
31.03,5610.39,38667.81,,
31.04,5615.74,38723.95,,
31.05,5621.15,38780.12,,
31.06,5626.57,38836.38,,
31.07,5632.47,38892.66,,
31.08,5638.23,38949.02,,
31.09,5643.57,39005.43,,
31.1,5648.87,39061.88,,
31.11,5654.07,39118.4,,
31.12,5659.22,39174.96,,
31.13,5664.33,39231.59,,
31.14,5669.47,39288.25,,
31.15,5674.66,39344.98,,
31.16,5679.74,39401.75,,
31.17,5684.83,39458.56,,
31.18,5689.99,39515.45,,
31.19,5695.07,39572.36,,
31.2,5700.18,39629.35,,
31.21,5705.24,39686.37,,
31.22,5710.38,39743.46,,
31.23,5715.5,39800.58,,
31.24,5720.59,39857.77,,
31.25,5725.62,39914.99,,
31.26,5730.63,39972.26,,
31.27,5735.64,40029.61,,
31.28,5740.66,40086.98,,
31.29,5745.79,40144.42,,
31.3,5751.01,40201.9,,
31.31,5756.15,40259.45,,
31.32,5761.32,40317.02,,
31.33,5766.51,40374.68,,
31.34,5771.79,40432.36,,
31.35,5776.99,40490.09,,
31.36,5782.17,40547.9,,
31.37,5787.36,40605.74,,
31.38,5792.49,40663.65,,
31.39,5797.64,40721.59,,
31.4,5802.91,40779.6,,
31.41,5808.13,40837.65,,
31.42,5813.27,40895.75,,
31.43,5818.31,40953.92,,
31.44,5823.34,41012.12,,
31.45,5828.32,41070.39,,
31.46,5833.23,41128.69,,
31.47,5838.17,41187.06,,
31.48,5843.14,41245.45,,
31.49,5848.14,41303.92,,
31.5,5853.14,41362.42,,
31.51,5858.07,41420.96,,
31.52,5862.99,41479.58,,
31.53,5867.93,41538.23,,
31.54,5872.86,41596.94,,
31.55,5877.79,41655.69,,
31.56,5882.71,41714.5,,
31.57,5887.69,41773.34,,
31.58,5892.75,41832.26,,
31.59,5897.71,41891.2,,
31.6,5902.61,41950.19,,
31.61,5907.5,42009.26,,
31.62,5912.36,42068.35,,
31.63,5917.2,42127.51,,
31.64,5922.04,42186.69,,
31.65,5926.96,42245.95,,
31.66,5931.95,42305.23,,
31.67,5937.01,42364.57,,
31.68,5942.13,42423.98,,
31.69,5947.32,42483.41,,
31.7,5952.51,42542.92,,
31.71,5957.72,42602.47,,
31.72,5962.95,42662.08,,
31.73,5968.09,42721.73,,
31.74,5973.17,42781.45,,
31.75,5978.15,42841.19,,
31.76,5983.18,42900.99,,
31.77,5988.38,42960.86,,
31.78,5993.73,43020.76,,
31.79,5999.17,43080.74,,
31.8,6004.6,43140.75,,
31.81,6010.09,43200.83,,
31.82,6015.42,43260.95,,
31.83,6020.66,43321.14,,
31.84,6025.94,43381.37,,
31.85,6031.15,43441.64,,
31.86,6036.34,43501.99,,
31.87,6041.59,43562.37,,
31.88,6047.27,43622.83,,
31.89,6053.04,43683.32,,
31.9,6058.82,43743.89,,
31.91,6064.61,43804.5,,
31.92,6070.28,43865.17,,
31.93,6075.78,43925.91,,
31.94,6081.24,43986.68,,
31.95,6086.88,44047.54,,
31.96,6092.54,44108.42,,
31.97,6098.13,44169.39,,
31.98,6103.67,44230.39,,
31.99,6109.21,44291.46,,
32,6114.69,44352.58,,
32.01,6120.23,44413.74,,
32.02,6125.72,44474.98,,
32.03,6131.19,44536.26,,
32.04,6136.64,44597.61,,
32.05,6142.15,44658.99,,
32.06,6147.7,44720.46,,
32.07,6153.14,44781.95,,
32.08,6158.56,44843.52,,
32.09,6163.93,44905.12,,
32.1,6169.33,44966.78,,
32.11,6174.77,45028.51,,
32.12,6180.29,45090.28,,
32.13,6185.82,45152.12,,
32.14,6191.25,45214,,
32.15,6196.61,45275.95,,
32.16,6201.92,45337.93,,
32.17,6207.24,45399.97,,
32.18,6212.64,45462.08,,
32.19,6218,45524.22,,
32.2,6223.32,45586.44,,
32.21,6228.65,45648.69,,
32.22,6234.06,45711.02,,
32.23,6239.44,45773.38,,
32.24,6244.89,45835.81,,
32.25,6250.16,45898.28,,
32.26,6255.39,45960.79,,
32.27,6260.63,46023.38,,
32.28,6265.87,46086.01,,
32.29,6271.08,46148.7,,
32.3,6276.3,46211.43,,
32.31,6281.55,46274.23,,
32.32,6286.93,46337.07,,
32.33,6292.4,46399.98,,
32.34,6297.6,46462.92,,
32.35,6302.81,46525.91,,
32.36,6307.99,46588.97,,
32.37,6313.13,46652.07,,
32.38,6318.23,46715.24,,
32.39,6323.32,46778.44,,
32.4,6328.33,46841.71,,
32.41,6333.49,46905.01,,
32.42,6338.93,46968.36,,
32.43,6344.08,47031.79,,
32.44,6349.17,47095.24,,
32.45,6354.31,47158.77,,
32.46,6359.45,47222.33,,
32.47,6364.51,47285.97,,
32.48,6369.41,47349.62,,
32.49,6374.31,47413.36,,
32.5,6379.18,47477.11,,
32.51,6384.04,47540.92,,
32.52,6389.11,47604.8,,
32.53,6394.24,47668.7,,
32.54,6399.28,47732.69,,
32.55,6404.36,47796.69,,
32.56,6409.42,47860.78,,
32.57,6414.51,47924.88,,
32.58,6419.6,47989.07,,
32.59,6424.65,48053.28,,
32.6,6429.73,48117.54,,
32.61,6434.86,48181.88,,
32.62,6440,48246.24,,
32.63,6445.09,48310.68,,
32.64,6450.35,48375.15,,
